Year,City,Population,CityYear
2001,Adelaide,1148006,Adelaide-2001
2002,Adelaide,1154981,Adelaide-2002
2003,Adelaide,1162250,Adelaide-2003
2004,Adelaide,1168541,Adelaide-2004
2005,Adelaide,1177345,Adelaide-2005
2006,Adelaide,1189243,Adelaide-2006
2007,Adelaide,1204210,Adelaide-2007
2008,Adelaide,1219523,Adelaide-2008
2009,Adelaide,1237354,Adelaide-2009
2010,Adelaide,1253097,Adelaide-2010
2011,Adelaide,1264091,Adelaide-2011
2012,Adelaide,1277850,Adelaide-2012
2013,Adelaide,1289696,Adelaide-2013
2014,Adelaide,1302079,Adelaide-2014
2015,Adelaide,1313419,Adelaide-2015
2016,Adelaide,1324057,Adelaide-2016
2017,Adelaide,1338270,Adelaide-2017
2018,Adelaide,1353662,Adelaide-2018
2019,Adelaide,1372414,Adelaide-2019
2020,Adelaide,1392755,Adelaide-2020
2021,Adelaide,1401872,Adelaide-2021
2022,Adelaide,1418323,Adelaide-2022
2023,Adelaide,1447038,Adelaide-2023
2024,Adelaide,1469163,Adelaide-2024
2001,Brisbane,1693556,Brisbane-2001
2002,Brisbane,1735730,Brisbane-2002
2003,Brisbane,1780650,Brisbane-2003
2004,Brisbane,1823496,Brisbane-2004
2005,Brisbane,1866210,Brisbane-2005
2006,Brisbane,1908265,Brisbane-2006
2007,Brisbane,1958907,Brisbane-2007
2008,Brisbane,2012204,Brisbane-2008
2009,Brisbane,2068479,Brisbane-2009
2010,Brisbane,2108348,Brisbane-2010
2011,Brisbane,2147436,Brisbane-2011
2012,Brisbane,2196288,Brisbane-2012
2013,Brisbane,2241944,Brisbane-2013
2014,Brisbane,2281740,Brisbane-2014
2015,Brisbane,2318653,Brisbane-2015
2016,Brisbane,2362672,Brisbane-2016
2017,Brisbane,2409466,Brisbane-2017
2018,Brisbane,2454907,Brisbane-2018
2019,Brisbane,2503078,Brisbane-2019
2020,Brisbane,2545379,Brisbane-2020
2021,Brisbane,2567714,Brisbane-2021
2022,Brisbane,2625746,Brisbane-2022
2023,Brisbane,2707133,Brisbane-2023
2024,Brisbane,2780063,Brisbane-2024
2001,Darwin,108280,Darwin-2001
2002,Darwin,108679,Darwin-2002
2003,Darwin,108433,Darwin-2003
2004,Darwin,109211,Darwin-2004
2005,Darwin,111388,Darwin-2005
2006,Darwin,113461,Darwin-2006
2007,Darwin,116935,Darwin-2007
2008,Darwin,121210,Darwin-2008
2009,Darwin,125315,Darwin-2009
2010,Darwin,127829,Darwin-2010
2011,Darwin,129106,Darwin-2011
2012,Darwin,133105,Darwin-2012
2013,Darwin,138471,Darwin-2013
2014,Darwin,141169,Darwin-2014
2015,Darwin,144914,Darwin-2015
2016,Darwin,147102,Darwin-2016
2017,Darwin,148752,Darwin-2017
2018,Darwin,148273,Darwin-2018
2019,Darwin,147251,Darwin-2019
2020,Darwin,147673,Darwin-2020
2021,Darwin,147971,Darwin-2021
2022,Darwin,149154,Darwin-2022
2023,Darwin,151122,Darwin-2023
2024,Darwin,152489,Darwin-2024
2001,Hobart,197403,Hobart-2001
2002,Hobart,197726,Hobart-2002
2003,Hobart,199788,Hobart-2003
2004,Hobart,201771,Hobart-2004
2005,Hobart,203288,Hobart-2005
2006,Hobart,204753,Hobart-2006
2007,Hobart,206649,Hobart-2007
2008,Hobart,209166,Hobart-2008
2009,Hobart,212085,Hobart-2009
2010,Hobart,214669,Hobart-2010
2011,Hobart,216273,Hobart-2011
2012,Hobart,217670,Hobart-2012
2013,Hobart,219315,Hobart-2013
2014,Hobart,221365,Hobart-2014
2015,Hobart,223502,Hobart-2015
2016,Hobart,225913,Hobart-2016
