Year,City,CPI,CityYear
2001,Sydney,75.525,Sydney-2001
2002,Sydney,77.7,Sydney-2002
2003,Sydney,79.625,Sydney-2003
2004,Sydney,81.5,Sydney-2004
2005,Sydney,83.55,Sydney-2005
2006,Sydney,86.4,Sydney-2006
2007,Sydney,88.05,Sydney-2007
2008,Sydney,91.775,Sydney-2008
2009,Sydney,93.425,Sydney-2009
2010,Sydney,95.95,Sydney-2010
2011,Sydney,99.275,Sydney-2011
2012,Sydney,101.225,Sydney-2012
2013,Sydney,103.775,Sydney-2013
2014,Sydney,106.25,Sydney-2014
2015,Sydney,108.275,Sydney-2015
2016,Sydney,109.825,Sydney-2016
2017,Sydney,112.2,Sydney-2017
2018,Sydney,114.375,Sydney-2018
2019,Sydney,116.15,Sydney-2019
2020,Sydney,116.725,Sydney-2020
2021,Sydney,119.925,Sydney-2021
2022,Sydney,127.225,Sydney-2022
2023,Sydney,134.725,Sydney-2023
2024,Sydney,139.075,Sydney-2024
2001,Melbourne,75.35,Melbourne-2001
2002,Melbourne,77.65,Melbourne-2002
2003,Melbourne,79.9,Melbourne-2003
2004,Melbourne,81.5,Melbourne-2004
2005,Melbourne,83.475,Melbourne-2005
2006,Melbourne,86.175,Melbourne-2006
2007,Melbourne,88.225,Melbourne-2007
2008,Melbourne,91.925,Melbourne-2008
2009,Melbourne,93.225,Melbourne-2009
2010,Melbourne,96.05,Melbourne-2010
2011,Melbourne,99.35,Melbourne-2011
2012,Melbourne,100.975,Melbourne-2012
2013,Melbourne,103.45,Melbourne-2013
2014,Melbourne,105.9,Melbourne-2014
2015,Melbourne,107.35,Melbourne-2015
2016,Melbourne,108.95,Melbourne-2016
2017,Melbourne,111.425,Melbourne-2017
2018,Melbourne,113.925,Melbourne-2018
2019,Melbourne,115.7,Melbourne-2019
2020,Melbourne,117.15,Melbourne-2020
2021,Melbourne,119.85,Melbourne-2021
2022,Melbourne,127.675,Melbourne-2022
2023,Melbourne,134.4,Melbourne-2023
2024,Melbourne,138.675,Melbourne-2024
2001,Brisbane,72.6,Brisbane-2001
2002,Brisbane,74.975,Brisbane-2002
2003,Brisbane,77.225,Brisbane-2003
2004,Brisbane,79.3,Brisbane-2004
2005,Brisbane,81.425,Brisbane-2005
2006,Brisbane,84.45,Brisbane-2006
2007,Brisbane,87.025,Brisbane-2007
2008,Brisbane,91.325,Brisbane-2008
2009,Brisbane,93.5,Brisbane-2009
2010,Brisbane,96.35,Brisbane-2010
2011,Brisbane,99.45,Brisbane-2011
2012,Brisbane,100.975,Brisbane-2012
2013,Brisbane,103.225,Brisbane-2013
2014,Brisbane,106.05,Brisbane-2014
2015,Brisbane,107.675,Brisbane-2015
2016,Brisbane,109.35,Brisbane-2016
2017,Brisbane,111.3,Brisbane-2017
2018,Brisbane,113.175,Brisbane-2018
2019,Brisbane,115.175,Brisbane-2019
2020,Brisbane,115.875,Brisbane-2020
2021,Brisbane,120.175,Brisbane-2021
2022,Brisbane,128.875,Brisbane-2022
2023,Brisbane,136.325,Brisbane-2023
2024,Brisbane,139.85,Brisbane-2024
2001,Adelaide,73.675,Adelaide-2001
2002,Adelaide,76.05,Adelaide-2002
2003,Adelaide,79.025,Adelaide-2003
2004,Adelaide,81.05,Adelaide-2004
2005,Adelaide,83.1,Adelaide-2005
2006,Adelaide,85.95,Adelaide-2006
2007,Adelaide,87.625,Adelaide-2007
2008,Adelaide,91.525,Adelaide-2008
2009,Adelaide,93.175,Adelaide-2009
